# Метеостанция Москва (ВДНХ), Россия, WMO_ID=27612, выборка с 01.02.2005 по 03.07.2022, все дни
# Кодировка: UTF-8
# Информация предоставлена сайтом "Расписание Погоды", rp5.ru
# Пожалуйста, при использовании данных, любезно указывайте названный сайт.
# Обозначения метеопараметров см. по адресу http://rp5.ru/archive.php?wmo_id=27612&lang=ru
#
"Местное время в Москве (ВДНХ)";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"01.07.2022 15:00";"21.6";"751.6";"764.7";"0.2";"25";"Ветер, дующий с севера";"3";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"19.0";"0.8";"";"";"";"";"";"";
"01.07.2022 12:00";"20.6";"751.4";"764.5";"0.7";"29";"Ветер, дующий с северо-северо-востока";"3";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"20.0";"1.9";"";"";"";"";"";"";
"01.07.2022 09:00";"19.0";"750.7";"763.9";"0.6";"42";"Ветер, дующий с севера";"3";"";"";"Облаков нет.";" ";"";"";"16.0";"";"";"";"";"";"";"20.0";"5.6";"Осадков нет";"12";"Cухая (без трещин, заметного количества пыли или сыпучего песка)";"16.0";"";"";
"01.07.2022 06:00";"16.5";"750.1";"763.3";"0.7";"60";"Ветер, дующий с северо-востока";"1";"";"";"Облаков нет.";" ";"";"";"16.0";"";"";"";"";"";"";"20.0";"8.7";"Осадков нет";"12";"";"";"";"";
"01.07.2022 03:00";"17.8";"749.4";"762.6";"0.2";"58";"Ветер, дующий с севера";"1";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"20.0";"9.5";"";"";"";"";"";"";
"01.07.2022 00:00";"20.0";"749.2";"762.4";"0.2";"50";"Ветер, дующий с северо-северо-запада";"2";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"20.0";"9.1";"";"";"";"";"";"";
"30.06.2022 21:00";"22.5";"749.0";"762.0";"0.1";"41";"Ветер, дующий с северо-северо-запада";"2";"";"";"Облаков нет.";" ";"";"";"";"25.2";"";"";"";"";"";"20.0";"8.4";"Осадков нет";"12";"";"";"";"";
"30.06.2022 18:00";"24.3";"748.9";"761.9";"-0.6";"31";"Ветер, дующий с севера";"4";"";"";"60%.";" ";"";"";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"Облаков нет.";"2500 или более, или облаков нет.";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.";"20.0";"6.1";"Осадков нет";"12";"";"";"";"";
"30.06.2022 15:00";"24.4";"749.5";"762.4";"-0.9";"32";"Ветер, дующий с северо-северо-запада";"3";"";"";"70 – 80%.";" ";"";"";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"Облаков нет.";"2500 или более, или облаков нет.";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.";"20.0";"6.5";"";"";"";"";"";"";
"30.06.2022 12:00";"22.6";"750.4";"763.4";"-0.6";"33";"Ветер, дующий с северо-запада";"2";"";"";"20–30%.";" ";"";"";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"Облаков нет.";"2500 или более, или облаков нет.";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.";"20.0";"5.6";"";"";"";"";"";"";
"30.06.2022 09:00";"20.4";"751.0";"764.2";"-0.3";"34";"Ветер, дующий с севера";"3";"";"";"20–30%.";" ";"";"";"11.5";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"Облаков нет.";"2500 или более, или облаков нет.";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перисто-кучевые одни или перисто-кучевые, сопровождаемые перистыми или перисто-слоистыми, либо те и другие, но перисто-кучевые преобладают среди них.";"20.0";"3.9";"Осадков нет";"12";"Cухая (без трещин, заметного количества пыли или сыпучего песка)";"13.0";"";"";
"30.06.2022 06:00";"14.8";"751.3";"764.7";"-0.3";"69";"Штиль, безветрие";"0";"";"";"20–30%.";" ";"";"";"11.5";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"Облаков нет.";"2500 или более, или облаков нет.";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перисто-кучевые одни или перисто-кучевые, сопровождаемые перистыми или перисто-слоистыми, либо те и другие, но перисто-кучевые преобладают среди них.";"20.0";"9.1";"Осадков нет";"12";"";"";"";"";
"30.06.2022 03:00";"12.1";"751.6";"765.1";"0.0";"79";"Штиль, безветрие";"0";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"20.0";"8.6";"";"";"";"";"";"";
"30.06.2022 00:00";"13.8";"751.6";"765.1";"0.2";"68";"Штиль, безветрие";"0";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"20.0";"8.0";"";"";"";"";"";"";
"29.06.2022 21:00";"20.4";"751.4";"764.6";"-0.3";"38";"Ветер, дующий с востока";"1";"";"";"Облаков нет.";" ";"";"";"";"23.7";"";"";"";"";"";"20.0";"5.5";"Осадков нет";"12";"";"";"";"";
"29.06.2022 18:00";"22.9";"751.7";"764.8";"-1.1";"29";"Ветер, дующий с северо-северо-запада";"2";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"20.0";"3.9";"Осадков нет";"12";"";"";"";"";
"29.06.2022 15:00";"23.4";"752.8";"765.8";"-0.8";"27";"Ветер, дующий с северо-востока";"1";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"20.0";"3.5";"";"";"";"";"";"";
"29.06.2022 12:00";"21.3";"753.6";"766.8";"-1.0";"34";"Ветер, дующий с северо-северо-востока";"1";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"20.0";"4.7";"";"";"";"";"";"";
"29.06.2022 09:00";"19.2";"754.6";"767.8";"-0.1";"43";"Ветер, дующий с северо-северо-востока";"1";"";"";"Облаков нет.";" ";"";"";"11.7";"";"";"";"";"";"";"20.0";"6.4";"Осадков нет";"12";"Cухая (без трещин, заметного количества пыли или сыпучего песка)";"13.0";"";"";
"29.06.2022 06:00";"14.9";"754.7";"768.2";"0.0";"57";"Ветер, дующий с востока";"1";"";"";"Облаков нет.";" ";"";"";"11.7";"";"";"";"";"";"";"20.0";"6.5";"Осадков нет";"12";"";"";"";"";
"29.06.2022 03:00";"13.3";"754.7";"768.3";"0.8";"66";"Штиль, безветрие";"0";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"20.0";"7.1";"";"";"";"";"";"";
"29.06.2022 00:00";"16.9";"753.9";"767.2";"1.1";"50";"Штиль, безветрие";"0";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"20.0";"6.3";"";"";"";"";"";"";
"28.06.2022 21:00";"20.7";"752.8";"766.0";"0.3";"37";"Ветер, дующий с северо-востока";"1";"";"";"Облаков нет.";" ";"";"";"";"25.3";"";"";"";"";"";"20.0";"5.4";"Осадков нет";"12";"";"";"";"";
"28.06.2022 18:00";"23.7";"752.5";"765.5";"-0.1";"32";"Ветер, дующий с севера";"2";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"20.0";"6.0";"Осадков нет";"12";"";"";"";"";
"28.06.2022 15:00";"25.1";"752.6";"765.6";"-0.2";"32";"Ветер, дующий с северо-востока";"2";"";"";"10%  или менее, но не 0";" ";"";"";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"Облаков нет.";"2500 или более, или облаков нет.";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.";"20.0";"7.3";"";"";"";"";"";"";
"28.06.2022 12:00";"24.3";"752.8";"765.8";"0.6";"39";"Ветер, дующий с северо-северо-востока";"2";"";"";"20–30%.";" ";"";"";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"Облаков нет.";"2500 или более, или облаков нет.";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.";"20.0";"9.4";"";"";"";"";"";"";
"28.06.2022 09:00";"22.9";"752.2";"765.2";"0.5";"57";"Ветер, дующий с северо-северо-востока";"3";"";"";"20–30%.";" ";"";"";"18.9";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"20–30%.";"2500 или более, или облаков нет.";"Высококучевые башенкообразные или хлопьевидные.";"Перисто-кучевые одни или перисто-кучевые, сопровождаемые перистыми или перисто-слоистыми, либо те и другие, но перисто-кучевые преобладают среди них.";"20.0";"14.0";"Осадков нет";"12";"Cухая (без трещин, заметного количества пыли или сыпучего песка)";"18.0";"";"";
"28.06.2022 06:00";"21.5";"751.7";"764.8";"0.8";"72";"Ветер, дующий с северо-северо-востока";"1";"";"";"40%.";" ";"";"";"18.9";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"20–30%.";"2500 или более, или облаков нет.";"Высококучевые просвечивающие, расположенные на одном уровне.";"Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.";"20.0";"16.3";"Осадков нет";"12";"";"";"";"";
"28.06.2022 03:00";"20.3";"750.9";"764.0";"0.3";"78";"Штиль, безветрие";"0";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"20.0";"16.3";"";"";"";"";"";"";
"28.06.2022 00:00";"21.9";"750.6";"763.6";"0.2";"69";"Штиль, безветрие";"0";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"20.0";"15.9";"";"";"";"";"";"";
"27.06.2022 21:00";"28.1";"750.4";"763.3";"0.2";"38";"Ветер, дующий с северо-северо-запада";"1";"";"";"Облаков нет.";" ";"";"";"";"32.1";"";"";"";"";"";"20.0";"12.5";"Осадков нет";"12";"";"";"";"";
"27.06.2022 18:00";"31.0";"750.2";"762.9";"-0.5";"42";"Ветер, дующий с северо-северо-запада";"3";"";"";"10%  или менее, но не 0";" ";"";"";"";"";"Кучевые плоские или кучевые разорванные, или те и другие вместе, не относящиеся к облакам плохой погоды.";"10%  или менее, но не 0";"1000-1500";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"19.0";"16.5";"Осадков нет";"12";"";"";"";"";
"27.06.2022 15:00";"31.6";"750.7";"763.3";"-0.7";"39";"Ветер, дующий с северо-северо-запада";"3";"";"";"20–30%.";" ";"";"";"";"";"Кучевые плоские или кучевые разорванные, или те и другие вместе, не относящиеся к облакам плохой погоды.";"20–30%.";"1000-1500";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"20.0";"16.2";"";"";"";"";"";"";
"27.06.2022 12:00";"31.3";"751.4";"764.0";"-0.3";"44";"Ветер, дующий с северо-запада";"2";"";"";"40%.";" ";"";"";"";"";"Кучевые плоские или кучевые разорванные, или те и другие вместе, не относящиеся к облакам плохой погоды.";"40%.";"1000-1500";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"19.0";"17.6";"";"";"";"";"";"";
"27.06.2022 09:00";"28.9";"751.7";"764.5";"-0.5";"54";"Ветер, дующий с запада";"1";"";"";"Облаков нет.";" ";"";"";"18.5";"";"";"";"";"";"";"20.0";"18.6";"Осадков нет";"12";"Cухая (без трещин, заметного количества пыли или сыпучего песка)";"18.0";"";"";
"27.06.2022 06:00";"22.0";"752.2";"765.2";"0.0";"77";"Штиль, безветрие";"0";"";"";"Облаков нет.";" ";"";"";"18.5";"";"";"";"";"";"";"20.0";"17.8";"Осадков нет";"12";"";"";"";"";
"27.06.2022 03:00";"18.8";"752.2";"765.4";"0.0";"86";"Штиль, безветрие";"0";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"20.0";"16.4";"";"";"";"";"";"";
"27.06.2022 00:00";"20.4";"752.2";"765.4";"0.3";"76";"Штиль, безветрие";"0";"";"";"20–30%.";" ";"";"";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"Облаков нет.";"2500 или более, или облаков нет.";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.";"20.0";"16.1";"";"";"";"";"";"";
"26.06.2022 21:00";"23.8";"751.9";"764.8";"0.0";"64";"Штиль, безветрие";"0";"";"";"Облаков нет.";" ";"";"";"";"30.3";"";"";"";"";"";"20.0";"16.6";"Осадков нет";"12";"";"";"";"";
"26.06.2022 18:00";"29.6";"751.9";"764.7";"-0.4";"38";"Ветер, дующий с севера";"2";"";"";"10%  или менее, но не 0";" ";"";"";"";"";"Кучевые плоские или кучевые разорванные, или те и другие вместе, не относящиеся к облакам плохой погоды.";"10%  или менее, но не 0";"1000-1500";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"20.0";"13.7";"Осадков нет";"12";"";"";"";"";
"26.06.2022 15:00";"30.0";"752.3";"765.0";"-0.7";"38";"Ветер, дующий с северо-запада";"1";"";"";"50%.";" ";"";"";"";"";"Кучевые плоские или кучевые разорванные, или те и другие вместе, не относящиеся к облакам плохой погоды.";"50%.";"1000-1500";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"20.0";"14.0";"";"";"";"";"";"";
"26.06.2022 12:00";"28.9";"753.0";"765.8";"-0.1";"40";"Ветер, дующий с севера";"1";"";"";"50%.";" ";"";"";"";"";"Кучевые плоские или кучевые разорванные, или те и другие вместе, не относящиеся к облакам плохой погоды.";"50%.";"1000-1500";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"20.0";"13.8";"";"";"";"";"";"";
"26.06.2022 09:00";"27.2";"753.1";"766.0";"0.3";"45";"Ветер, дующий с северо-северо-востока";"1";"";"";"Облаков нет.";" ";"";"";"16.0";"";"";"";"";"";"";"20.0";"14.3";"Осадков нет";"12";"Cухая (без трещин, заметного количества пыли или сыпучего песка)";"16.0";"";"";
"26.06.2022 06:00";"18.7";"752.8";"766.0";"0.7";"88";"Штиль, безветрие";"0";"";"";"Облаков нет.";" ";"";"";"16.0";"";"";"";"";"";"";"20.0";"16.6";"Осадков нет";"12";"";"";"";"";
"26.06.2022 03:00";"16.4";"752.1";"765.4";"0.6";"89";"Штиль, безветрие";"0";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"20.0";"14.6";"";"";"";"";"";"";
"26.06.2022 00:00";"19.4";"751.5";"764.6";"0.8";"78";"Штиль, безветрие";"0";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"20.0";"15.5";"";"";"";"";"";"";
"25.06.2022 21:00";"24.2";"750.7";"763.6";"0.4";"55";"Штиль, безветрие";"0";"";"";"Облаков нет.";" ";"";"";"";"28.6";"";"";"";"";"";"20.0";"14.6";"Осадков нет";"12";"";"";"";"";
"25.06.2022 18:00";"27.8";"750.3";"763.0";"-0.4";"41";"Ветер, дующий с северо-северо-запада";"1";"";"";"20–30%.";" ";"";"";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"Облаков нет.";"2500 или более, или облаков нет.";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.";"20.0";"13.3";"Осадков нет";"12";"";"";"";"";
"25.06.2022 15:00";"27.7";"750.7";"763.4";"-0.3";"39";"Ветер, дующий с севера";"1";"";"";"40%.";" ";"";"";"";"";"Кучевые плоские или кучевые разорванные, или те и другие вместе, не относящиеся к облакам плохой погоды.";"40%.";"1000-1500";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"19.0";"12.5";"";"";"";"";"";"";
"25.06.2022 12:00";"25.9";"751.0";"763.9";"-0.2";"45";"Ветер, дующий с севера";"2";"";"";"50%.";" ";"";"";"";"";"Кучевые плоские или кучевые разорванные, или те и другие вместе, не относящиеся к облакам плохой погоды.";"50%.";"1000-1500";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"20.0";"13.1";"";"";"";"";"";"";
"25.06.2022 09:00";"23.8";"751.2";"764.2";"0.7";"52";"Ветер, дующий с севера";"1";"";"";"Облаков нет.";" ";"";"";"14.9";"";"";"";"";"";"";"20.0";"13.2";"Осадков нет";"12";"Cухая (без трещин, заметного количества пыли или сыпучего песка)";"15.0";"";"";
"25.06.2022 06:00";"18.1";"750.5";"763.7";"0.8";"72";"Ветер, дующий с северо-северо-запада";"1";"";"";"Облаков нет.";" ";"";"";"14.9";"";"";"";"";"";"";"20.0";"12.9";"Осадков нет";"12";"";"";"";"";
"25.06.2022 03:00";"15.2";"749.7";"763.0";"0.5";"86";"Штиль, безветрие";"0";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"20.0";"12.9";"";"";"";"";"";"";
"25.06.2022 00:00";"17.8";"749.2";"762.4";"0.6";"75";"Штиль, безветрие";"0";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"20.0";"13.2";"";"";"";"";"";"";
"24.06.2022 21:00";"23.4";"748.6";"761.5";"0.6";"45";"Ветер, дующий с севера";"2";"";"";"Облаков нет.";" ";"";"";"";"26.4";"";"";"";"";"";"20.0";"10.9";"Осадков нет";"12";"";"";"";"";
"24.06.2022 18:00";"25.7";"748.0";"760.8";"-0.2";"40";"Ветер, дующий с севера";"2";"";"";"10%  или менее, но не 0";" ";"";"";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"Облаков нет.";"2500 или более, или облаков нет.";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.";"20.0";"10.9";"Осадков нет";"12";"";"";"";"";
"24.06.2022 15:00";"25.6";"748.2";"761.0";"-0.6";"37";"Ветер, дующий с северо-запада";"2";"";"";"10%  или менее, но не 0";" ";"";"";"";"";"Кучевые плоские или кучевые разорванные, или те и другие вместе, не относящиеся к облакам плохой погоды.";"10%  или менее, но не 0";"1500-2000";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"20.0";"9.7";"";"";"";"";"";"";
"24.06.2022 12:00";"24.3";"748.8";"761.7";"-0.4";"39";"Ветер, дующий с северо-северо-запада";"2";"";"";"40%.";" ";"";"";"";"";"Кучевые плоские или кучевые разорванные, или те и другие вместе, не относящиеся к облакам плохой погоды.";"20–30%.";"1000-1500";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.";"20.0";"9.6";"";"";"";"";"";"";
"24.06.2022 09:00";"22.1";"749.2";"762.2";"0.2";"41";"Ветер, дующий с севера";"2";"";"";"Облаков нет.";" ";"";"";"11.8";"";"";"";"";"";"";"20.0";"8.3";"Осадков нет";"12";"Cухая (без трещин, заметного количества пыли или сыпучего песка)";"12.0";"";"";
"24.06.2022 06:00";"15.4";"749.0";"762.4";"0.6";"73";"Штиль, безветрие";"0";"";"";"Облаков нет.";" ";"";"";"11.8";"";"";"";"";"";"";"20.0";"10.5";"Осадков нет";"12";"";"";"";"";
"24.06.2022 03:00";"12.1";"748.4";"761.9";"0.4";"84";"Штиль, безветрие";"0";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"20.0";"9.5";"";"";"";"";"";"";
"24.06.2022 00:00";"16.8";"748.0";"761.3";"0.6";"64";"Штиль, безветрие";"0";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"20.0";"9.9";"";"";"";"";"";"";
"23.06.2022 21:00";"21.6";"747.4";"760.4";"1.2";"43";"Ветер, дующий с севера";"2";"";"";"Облаков нет.";" ";"";"";"";"24.2";"";"";"";"";"";"20.0";"8.4";"Осадков нет";"12";"";"";"";"";
"23.06.2022 18:00";"23.9";"746.2";"759.1";"0.2";"39";"Ветер, дующий с северо-северо-востока";"2";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"20.0";"8.9";"Осадков нет";"12";"";"";"";"";
"23.06.2022 15:00";"23.8";"746.0";"758.9";"0.3";"38";"Ветер, дующий с северо-северо-востока";"2";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"20.0";"8.5";"";"";"";"";"";"";
"23.06.2022 12:00";"22.1";"745.7";"758.7";"0.4";"40";"Ветер, дующий с северо-северо-востока";"2";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"20.0";"7.9";"";"";"";"";"";"";
"23.06.2022 09:00";"19.1";"745.3";"758.4";"0.9";"49";"Ветер, дующий с севера";"3";"";"";"Облаков нет.";" ";"";"";"13.4";"";"";"";"";"";"";"20.0";"8.0";"Осадков нет";"12";"Cухая (без трещин, заметного количества пыли или сыпучего песка)";"11.0";"";"";
"23.06.2022 06:00";"14.6";"744.4";"757.8";"0.9";"68";"Ветер, дующий с севера";"2";"";"";"Облаков нет.";" ";"";"";"13.4";"";"";"";"";"";"";"20.0";"8.7";"Осадков нет";"12";"";"";"";"";
"23.06.2022 03:00";"14.3";"743.5";"756.7";"1.2";"68";"Ветер, дующий с севера";"1";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"19.0";"8.5";"";"";"";"";"";"";
"23.06.2022 00:00";"16.7";"742.3";"755.5";"0.9";"62";"Ветер, дующий с северо-северо-востока";"1";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"20.0";"9.4";"";"";"";"";"";"";
